id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42939686,B305|Copacabana,341697220,Blue Rentals,"Copacabana, Rio de Janeiro, Brazil",-22.98638,-43.19399,Entire home/apt,$253.00,1,15,2020-12-20,2.87,14,24
42950613,Rio Stay Residence Suite  (B),277358509,Flat Residence,,-22.97619,-43.414159999999995,Private room,$264.00,10,1,2020-07-29,0.2,19,365
42952554,Maravilhosa casa no Jardim Botanico,140502806,Luiza,,-22.96354,-43.22567,Entire home/apt,"$1,317.00",2,6,2020-11-02,1.0,2,2
42953590,Bom Apartamento próximo da praia do Recreio,57197027,Romulo,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",-23.022029999999997,-43.46294,Entire home/apt,$150.00,2,0,,,2,267
42954169,Quatro mobilhado no Jardim Guanabara,235250748,Carolina,"Jardim Guanabara, Rio de Janeiro, Brazil",-22.818479999999997,-43.19344,Private room,$55.00,1,0,,,3,365
42958492,Studio em Ipanema próximo a praia.,342045573,Carla,"Ipanema, Rio de Janeiro, Brazil",-22.98752,-43.193529999999996,Entire home/apt,$771.00,3,0,,,1,365
42962764,Flat no melhor lugar da Barra da Tijuca.,340484751,Fernando Antônio,,-23.010920000000002,-43.344390000000004,Entire home/apt,$671.00,3,1,2020-04-30,0.13,2,335
42964206,Suite aconchegante em casa maravilhosa,27531233,Tiago,,-22.98378,-43.30345,Private room,$587.00,1,6,2020-07-29,0.92,4,358
42969870,CASAS P/ ISOLAMENTO SOCIAL- BONS VALORES MENSAIS,14315601,Aroldo,,-23.01108,-43.28908,Entire home/apt,"$2,000.00",29,0,,,44,180
42970374,ISOLAMENTO SOCIAL - PROTEÇÃO - OCUPAÇÃO IMEDIATA!,14315601,Aroldo,,-23.009439999999998,-43.287929999999996,Entire home/apt,"$2,000.00",29,0,,,44,179
42971065,Av Ataulfo. 2Quadras da Praia Leblon. AC/WIFI120MB,32416144,Alexandre,,-22.984029999999997,-43.216409999999996,Entire home/apt,$541.00,4,0,,,5,62
42971245,M402|Copacabana,341697220,Blue Rentals,"Copacabana, Rio de Janeiro, Brazil",-22.976670000000002,-43.18898,Entire home/apt,$185.00,1,14,2020-12-19,3.16,14,17
42971529,CT1206|Copacabana,341697220,Blue Rentals,"Copacabana, Rio de Janeiro, Brazil",-22.96793,-43.18264,Entire home/apt,$129.00,1,8,2020-11-16,1.58,14,46
42972593,V905|Lapa,341697220,Blue Rentals,"Glória, Rio de Janeiro, Brazil",-22.91539,-43.17856,Entire home/apt,$300.00,1,1,2020-10-07,0.38,14,0
42973089,DG403|Leblon,341697220,Blue Rentals,"Leblon, Rio de Janeiro, Brazil",-22.984170000000002,-43.21991,Entire home/apt,$456.00,1,9,2020-11-30,3.03,14,14
42974021,Modern Luxury! 2-Suite Designer Apart. in Ipanema,27605480,Alex,"Ipanema, Rio de Janeiro, Brazil",-22.98366,-43.19923,Entire home/apt,$444.00,3,9,2020-12-20,2.06,1,306
42975807,Large Santa Teresa/Lapa apartment w/ outdoor area,5162650,Douglas,"Santa Teresa, Rio de Janeiro, Brazil",-22.91481,-43.181309999999996,Entire home/apt,$311.00,1,0,,,2,365
42983232,Rio Leblon Beach Studio,255448207,Rui,"Rio de Janeiro, Brazil",-22.98276,-43.22348,Entire home/apt,$514.00,3,3,2020-11-24,0.93,1,323
42985054,"Cozy studio, Prado Júnior (Rio da Janeiro)",9966648,Igor,,-22.964879999999997,-43.17389,Entire home/apt,$332.00,2,0,,,2,179
42988153,Lovely kit Posto 2 Copacabana,5737780,Fabi,,-22.96518,-43.17641,Entire home/apt,$379.00,5,5,2020-11-23,1.74,15,85
42994222,Excelente apartamento de 2 quartos em Copacabana!!,56058824,Tatiana,"Copacabana, Rio de Janeiro, Brazil",-22.96475,-43.17719,Entire home/apt,$386.00,4,9,2020-12-15,2.5,3,353
42994589,Apartamento aconchegante a 2 quadras da praia,342321702,Paloma,,-22.96667,-43.18039,Entire home/apt,$518.00,2,0,,,1,83
42994875,Apartment with a view in Copacabana near the beach,105721429,Rosario,,-22.96645,-43.18698,Entire home/apt,$629.00,7,0,,,3,364
42999147,Suite ampla com varanda e mobília inclusa,342335150,Jéssica,"Guaratiba, Rio de Janeiro, Brazil",-22.99515,-43.57639,Private room,$55.00,30,0,,,1,88
42999660,Quarto silencioso e reservado,110636072,Rosilene Schneider,,-22.84541,-43.308240000000005,Private room,$80.00,1,1,2020-11-08,0.64,3,298
43002843,Cobertura com vista deslumbrante na Barra,73113195,Creuza,,-23.00178,-43.32902,Entire home/apt,$550.00,3,0,,,4,359
43003822,"🌴🌿 Superbly Decorated, Ample Kitchenette 🌴🌿",1174393,Carlos,,-22.96185,-43.175290000000004,Entire home/apt,$259.00,3,11,2020-10-30,1.22,2,297
43007864,"Suite bem confortável, venha conhecer.",278019309,Elisangela,"Vargem Grande, Rio de Janeiro, Brazil",-22.974970000000003,-43.41575,Private room,$143.00,1,19,2020-12-06,2.42,1,350
43009148,"Quarto aconchegante, 150 mt do metrô Catete/aterro",342376462,Igor,,-22.9245,-43.17857,Private room,$350.00,2,0,,,1,178
43012723,Apto aconchegante no Recreio dos Bandeirantes,342380853,Daniela Isis,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",-23.02485,-43.48007,Entire home/apt,$480.00,6,0,,,1,365
43021656,Flamboyant your place of peace,342453721,Tatiéle Cristina,,-22.989520000000002,-43.452940000000005,Entire home/apt,"$1,100.00",1,0,,,1,365
43022819,Aconchegante apartamento no Bairro de Fátima,163630668,Isabel,"Centro, Rio de Janeiro, Brazil",-22.917170000000002,-43.18906,Entire home/apt,$400.00,4,0,,,1,9
43022958,Quitinete Cidade Universitária - UFRJ,6335968,Ananda,"Cidade Universitária da Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil",-22.86867,-43.21877,Entire home/apt,$110.00,3,0,,,2,365
43027407,Suíte Ipanema - Melhor Localização do Rio!!,40544028,Fullano,"Copacabana, Rio de Janeiro, Brazil",-22.9835,-43.19347,Private room,$147.00,1,2,2020-12-11,2.0,6,339
43027418,Copacabana - Melhor Localização do Rio!!,40544028,Fullano,"Copacabana, Rio de Janeiro, Brazil",-22.9835,-43.19347,Private room,$163.00,1,0,,,6,339
43027431,Suíte Urca - Melhor localização do Rio!!!,40544028,Fullano,"Copacabana, Rio de Janeiro, Brazil",-22.9846,-43.194320000000005,Private room,$139.00,1,0,,,6,336
43027442,Suíte Leme - Melhor Localização do Rio!!!,40544028,Fullano,"Copacabana, Rio de Janeiro, Brazil",-22.9835,-43.19347,Private room,$166.00,2,0,,,6,342
43028962,Apartamento na taquara (6 pessoas) O AP Queridinho,341919385,Renata,,-22.9161,-43.38503,Entire home/apt,$250.00,2,10,2020-12-09,1.62,1,172
43030336,Departamento completo excelente ubicación IPANEMA,329915336,Will,"Ipanema, Rio de Janeiro, Brazil",-22.983,-43.19818,Entire home/apt,$576.00,7,0,,,1,0
43034515,1 Quarto perto da praia de Ipanema #112F,8975746,Maria Ivani,,-22.98584,-43.2003,Entire home/apt,$840.00,3,0,,,66,363
43035206,ALUGO COBERTURA NA BARRA EM FRENTE AO MAR,238544026,Roger Willian,,-23.012439999999998,-43.32181,Entire home/apt,$600.00,2,0,,,1,169
43035478,Quarto Privativo em Hostel no Maracanã,273368396,Bruno,,-22.91263,-43.23066,Private room,$85.00,1,0,,,2,356
43036115,Rio Design Hotel,311180109,Rio Design,,-22.982979999999998,-43.19063,Hotel room,$0.00,1,0,,,1,0
43036122,Belga Hotel e Restaurante Ltda,286416585,Belga,,-22.901329999999998,-43.1828,Hotel room,$0.00,1,0,,,1,0
43043480,Mambembe House with a view,307135726,Oliver,"Santa Teresa, Rio de Janeiro, Brazil",-22.91517,-43.18055,Private room,$59.00,3,1,2020-04-07,0.11,4,176
43043606,Quarto Copacabana,249954402,Raquel,,-22.98164,-43.19334,Private room,$98.00,10,0,,,1,0
43043937,Mambembe House with a view (suite),307135726,Oliver,"Santa Teresa, Rio de Janeiro, Brazil",-22.915760000000002,-43.18143,Private room,$78.00,1,3,2020-09-29,0.41,4,176
43044476,Modern cozy 1.5 bedroom apartment in Copacabana,30721359,I Live,"Rio de Janeiro, Brazil",-22.98181,-43.19311,Entire home/apt,"$1,936.00",3,0,,,24,328
